【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
4C3,4C3,C3,4F階,,1000×800(Fc30),6-D25,"2-D25,3-D19",SD345,50,3-D13@100,2-D13@100,SD295A
4C4,4C4,C4,4F階,,900×900(Fc30),7-D25,6-D25,SD345,50,3-D13@100,2-D13@100,SD295A
4C5,4C5,C5,4F階,,900×900(Fc30),6-D25,6-D25,SD345,50,2-TA13@100,2-TA13@100,SPR685
3C1,3C1,C1,3F階,,900×900(Fc30),7-D29,"2-D29,4-D22",X:SD390Y:SD345,50,4-D13@100,2-D13@100,SD295A
3C2,3C2,C2,3F階,,1100×1600(Fc30),11-D25,7-D25,SD345,50,5-D13@100,2-D13@100,SD295A
3C3,3C3,C3,3F階,,1000×800(Fc30),6-D25,"2-D25,3-D22",SD345,50,4-D13@100,2-D13@100,SD295A
3C4,3C4,C4,3F階,,900×900(Fc30),7-D29,"2-D29,4-D25",X:SD390Y:SD345,50,4-D13@100,2-D13@100,SD295A
3C5,3C5,C5,3F階,,1000×900(Fc30),7-D29,"2-D29,4-D25",X:SD390Y:SD345,50,2-TA13@100,2-TA13@100,SPR685
2C1,2C1,C1,2F階,,1000×900(Fc30),7-D29,"2-D29,5-D25",X:SD390Y:SD345,50,4-D13@100,2-D13@100,SD295A
2C2,2C2,C2,2F階,,1100×1600(Fc30),11-D29,"2-D29,5-D25",X:SD390Y:SD345,50,6-D13@100,2-D13@100,SD295A
2C3,2C3,C3,2F階,,1000×900(Fc30),6-D29,"2-D29,3-D25",X:SD390Y:SD345,50,4-D13@100,2-D13@100,SD295A
2C4,2C4,C4,2F階,,1000×900(Fc30),7-D29,7-D29,SD390,50,4-D13@100,2-D13@100,SD295A
2C5,2C5,C5,2F階,,1000×900(Fc30),7-D29,7-D29,SD390,50,2-TA13@100,2-TA13@100,SPR685
1C1,1C1,C1,1F階,,1000×1000(Fc30),8-D29,7-D29,SD390,50,4-D13@100,4-D13@100,SD295A
1C2,1C2,C2,1F階,,1100×1600(Fc30),11-D29,7-D29,SD390,50,6-D13@100,4-D13@100,SD295A
1C3,1C3,C3,1F階,,1000×1000(Fc30),7-D29,6-D29,SD390,50,4-D13@100,4-D13@100,SD295A
1C4,1C4,C4,1F階,,1000×1000(Fc30),7-D29,7-D29,SD390,50,4-D13@100,4-D13@100,SD295A
1C5,1C5,C5,1F階,,1000×1000(Fc30),7-D29,7-D29,SD390,50,4-TA13@100,4-TA13@100,SPR685
